Date,AAPL,CVX,IBM,XOM,GS,BA,TEVA,CME
7/6/2015,117.063797,79.550522,137.325974,69.944061,195.285751,124.960457,57.367413,79.784378
7/7/2015,116.775772,79.970215,137.551102,70.232193,195.445343,127.299194,57.265072,80.341133
7/8/2015,113.877052,78.534836,136.017212,69.469444,191.549774,126.205421,56.474251,80.147102
7/9/2015,111.554359,78.719505,136.592422,69.155869,192.253769,126.987968,57.804699,81.800514
7/10/2015,114.536697,79.248337,139.176682,69.681313,194.487885,128.481964,57.106907,83.099586
7/13/2015,116.747902,79.407814,141.202454,69.85083,197.238281,130.384979,58.883942,82.745277
7/14/2015,116.701447,80.205238,140.560577,70.435585,199.153168,131.389862,59.265392,82.011398
7/15/2015,117.825638,79.105629,140.493866,70.138977,199.904144,130.625107,59.004887,82.509087
7/16/2015,119.395767,79.307098,142.552963,70.266098,198.233276,132.047913,59.553814,83.656334
7/17/2015,120.427025,78.190681,143.811752,70.011841,199.434799,130.580597,59.135143,84.128746
7/20/2015,122.703278,78.014397,144.403641,69.291466,199.369095,130.473892,59.18166,84.221527
7/21/2015,121.476906,78.820229,135.942169,69.206734,198.533646,128.944382,58.939758,83.259857
7/22/2015,116.339096,78.492867,133.674667,69.316887,200.176376,130.251602,58.158234,83.462318
7/23/2015,116.283371,78.014397,134.825073,68.766006,198.111237,129.931488,58.158234,81.505257
7/24/2015,115.670166,76.050186,133.174484,67.749023,194.638092,128.108444,57.544186,81.539001
7/27/2015,114.062859,74.824669,132.607574,67.172722,192.450928,125.413963,66.987564,80.602631
7/28/2015,114.629601,77.561127,133.424561,69.901672,193.59613,126.10762,66.438652,81.117218
7/29/2015,114.267258,78.27462,134.291565,70.461014,194.159317,128.179626,65.945557,81.834244
7/30/2015,113.691231,78.089951,134.183182,70.35083,194.497253,127.174683,64.261559,81.834244
7/31/2015,112.697105,74.270653,135.04184,67.130348,192.497864,128.206314,64.215034,81.015976
8/3/2015,110.03997,71.853157,132.30748,66.155701,192.141144,127.779419,65.182625,81.800514
8/4/2015,106.509476,71.525787,131.382126,65.401451,192.591705,127.646034,65.768768,81.564301
8/5/2015,107.215553,70.535271,131.632217,65.401451,193.089203,129.72229,66.233963,82.576591
8/6/2015,107.448891,71.509003,131.396866,66.181145,192.516663,128.710983,65.526871,81.901718
8/7/2015,107.812859,70.300262,130.388199,65.113289,190.967773,127.458107,65.424522,82.028267
8/10/2015,111.732651,72.096581,131.758316,66.740501,193.342667,130.536667,64.940735,82.669373
8/11/2015,105.918304,72.004265,130.716034,66.287109,189.334457,128.916855,64.754646,82.036697
8/12/2015,107.551552,72.852051,131.26239,67.39917,188.799393,127.467026,64.77327,81.842682
8/13/2015,107.467552,72.063026,130.346191,67.279396,188.433334,129.597031,64.522049,82.433182
8/14/2015,108.223495,72.180542,130.91777,67.031326,189.634842,129.84758,64.215034,82.804337
8/17/2015,109.343437,70.744057,131.388504,67.38205,190.151138,129.265869,64.596489,82.880257
8/18/2015,108.727463,70.922569,131.136307,66.637856,188.846344,129.409073,64.54039,82.914009
8/19/2015,107.336884,68.772102,129.396332,65.209274,188.630417,127.726601,65.04528,82.019829
8/20/2015,105.134331,67.352615,128.320419,63.789265,184.687943,122.625389,63.792427,81.03286
8/21/2015,98.704018,64.394691,125.117882,61.702015,176.230286,117.873222,62.567631,77.304291
8/24/2015,96.240166,61.300739,120.595634,58.785011,168.457901,113.828072,60.295666,74.857948
8/25/2015,96.818787,59.515778,118.485847,58.776463,167.293915,112.306671,60.033875,75.161644
8/26/2015,102.371834,62.125225,123.310631,62.018524,173.095016,115.752197,60.604202,77.388657
8/27/2015,105.386337,65.992653,124.857269,64.028786,177.610168,118.016434,60.959492,79.101082
8/28/2015,105.731636,68.364105,124.386589,64.21698,176.847214,119.242493,60.800541,79.818108
8/31/2015,105.237,68.840103,124.310944,64.362404,177.647858,116.951439,60.220871,79.66629
9/1/2015,100.533249,66.460152,119.931587,61.659252,171.544128,114.051811,59.070869,76.865646
9/2/2015,104.845024,66.349648,121.923737,62.642982,173.795319,116.906685,60.622902,78.080368
9/3/2015,103.006447,66.519646,123.377876,63.122021,174.313416,117.25573,59.949734,79.134827
9/4/2015,101.979836,65.168167,120.788933,61.984318,169.905182,116.128067,59.313953,77.970711
9/8/2015,104.817017,65.31266,123.756149,62.873978,175.085785,119.761581,59.239162,80.421875
9/9/2015,102.801125,63.680698,121.923737,61.590809,174.897415,118.71447,58.350945,78.030083
9/10/2015,105.059677,64.309692,122.890373,62.035622,175.114059,119.519936,58.005009,79.276855
9/11/2015,106.590263,64.420181,123.873848,62.181068,174.511215,120.522263,59.51965,80.133514
9/14/2015,107.616867,64.403198,122.428062,62.009968,173.258484,120.30748,59.370056,80.099571
9/15/2015,108.522148,65.593163,124.008308,62.326488,176.564636,121.981033,60.95015,80.778099
9/16/2015,108.643478,67.165634,124.748032,63.558315,177.685501,122.786514,60.379818,80.888374
9/17/2015,106.319611,67.497131,124.521057,63.695187,175.622696,123.010208,60.202164,78.301498
9/18/2015,105.880959,66.077652,121.469803,62.172512,170.432663,121.793091,59.239162,76.67305
9/21/2015,107.523544,66.37513,123.125748,62.779858,172.702698,121.730438,58.73428,77.987686
9/22/2015,105.834305,65.661163,121.402565,62.22382,169.283539,119.913719,58.650135,76.935959
9/23/2015,106.692917,64.700684,120.755333,61.847435,168.991531,117.837448,57.771267,77.385483
